audio_filename,vibrato,throat,position,open,clean,resonate,unify,falsetto,chest,nasal,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
E4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.3046555,0.2668015,25.852846,0.060212,0.004314,0.4016,8.0,0.019276,-0.000113
E4-5-A.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.396836,-6.5793877,25.48564,0.154351,0.0022,0.055604,15.0,0.00893,-0.000122
E4-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09304,11.038467,18.869104,0.1550495,0.007789,0.88589954,5.333333,0.032025,-0.000109
F3-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.221991,-4.920144,19.935429,0.00443,0.004428,0.217151,10.333333,0.015422,-0.000157
F3-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.276882,-3.191199,19.819565,0.130363,0.003907,0.131444,12.5,0.0162085,-0.000174
F3-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.171169,0.794714,21.115128,0.048694,0.005303,0.648507,8.333333,0.015443999,-0.00014
F3-5-A.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.291898,-4.731016,21.011189,0.273428,0.003442,0.095693,16.5,0.015017,-0.000156
F4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.339625,11.920866,22.94815,0.006894,0.003028,0.934131,8.0,0.027673502,-0.000133
F4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.383792,-7.456086,28.002747,0.14319,0.002225,0.1242605,10.666667,0.016874,-0.000116
F4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.225666,8.872829,26.592405,0.328525,0.002646,0.876653,8.0,0.018832501,-0.000109
F4-5-A.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.417363,-7.508996,26.009148,0.272054,0.002794,0.118218,16.0,0.0146545,-0.000112
F4-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.116431,17.976175,23.915888,0.091988,0.005264,0.981322,6.0,0.042514,-0.000114
G3-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.236562,-5.129774,19.180733,0.010101,0.00544,0.353827,9.0,0.015431,-0.000158
G3-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.214596,-3.342065,21.470877,0.053986497,0.005203,0.228365,9.5,0.0200405,-0.000143
G3-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.1108075,2.424186,26.304789,0.05783,0.00372,0.981332,3.333333,0.016135499,-0.000124
G3-5-A.wav,5,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,0.284463,-3.5231109,19.384716,0.119254,0.004792,0.102154,15.0,0.020186,-0.000136
G3-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0601125,6.102944,7.055486,0.1539485,0.01583,0.9417875,3.333333,0.027629,-0.000121
G4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.307238,11.655916,26.1554,0.028454,0.002645,0.9325,6.666667,0.022057,-0.000121
G4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.308828,-2.336316,28.779907,0.120554,0.002168,0.362502,11.666667,0.016054,-0.000105
G4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.241375,2.92356,29.878712,0.273172,0.002101,0.664484,9.0,0.0139224995,-0.000105
G4-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,0.37403852,-6.9511585,24.029898,0.3430795,0.00639,0.15630001,12.333333,0.019233,-0.00012
G4-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.092089,2.771749,18.576488,0.321454,0.005428,0.650732,9.0,0.017967,-0.000109
